price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,sqft_basement,yr_built,yr_renovated,city,country
385500.0,4.0,2.25,1540.0,7947.0,1.0,0,3,420.0,1963,2013,Shoreline,USA
1150000.0,3.0,2.75,4460.0,103382.0,1.5,0,3,0.0,2009,0,Skykomish,USA
357186.0,4.0,2.5,1210.0,1040.0,2.0,0,3,0.0,1993,0,Renton,USA
365000.0,6.0,3.25,2200.0,7350.0,1.0,3,3,630.0,1967,2011,Federal Way,USA
250275.0,2.0,2.25,790.0,11234.0,2.0,0,3,0.0,2004,2003,Seattle,USA
329950.0,3.0,2.25,1820.0,8085.0,2.0,0,3,0.0,1986,0,Duvall,USA
712000.0,3.0,2.0,2375.0,4094.0,1.0,0,5,0.0,1975,0,Kent,USA
356000.0,2.0,1.0,1060.0,16470.0,1.0,0,5,0.0,1924,1956,Seattle,USA
540000.0,3.0,2.5,1720.0,4240.0,1.0,0,4,260.0,1994,0,Woodinville,USA
619400.0,3.0,3.0,2090.0,3610.0,3.0,0,3,300.0,2014,0,Seattle,USA
84573.0,2.0,1.0,3200.0,9200.0,1.0,0,3,1540.0,1948,1994,Seattle,USA
580000.0,3.0,1.5,1940.0,5980.0,1.0,1,4,420.0,1954,1979,Bellevue,USA
670500.0,3.0,1.0,1590.0,6750.0,2.0,0,3,0.0,1930,1997,Seattle,USA
1100000.0,3.0,1.75,2930.0,3200.0,1.0,0,3,800.0,1905,2014,Seattle,USA
711000.0,4.0,3.0,1980.0,10800.0,1.0,0,4,990.0,1976,1992,Bellevue,USA
455000.0,4.0,1.0,2950.0,4502.0,1.0,0,4,0.0,1966,0,SeaTac,USA
965000.0,5.0,2.25,2460.0,5000.0,1.0,0,3,840.0,1985,0,Bellevue,USA
589000.0,4.0,2.75,2440.0,9600.0,2.0,0,3,0.0,2014,0,Kirkland,USA
670000.0,5.0,2.75,2050.0,6420.0,1.5,0,5,320.0,1925,0,Seattle,USA
1165000.0,2.0,1.0,3790.0,5001.0,1.0,0,3,980.0,1943,2002,Seattle,USA
875000.0,2.0,2.0,1820.0,12686.0,2.0,0,3,0.0,2004,2003,Maple Valley,USA
199000.0,3.0,1.0,2030.0,8120.0,1.0,0,4,0.0,1957,2001,Renton,USA
539000.0,4.0,2.75,1710.0,2300.0,2.0,0,3,140.0,2000,0,Sammamish,USA
270000.0,4.0,1.0,2060.0,8398.0,1.0,0,3,800.0,1959,1989,Tukwila,USA
374000.0,2.0,1.0,2000.0,9416.0,1.0,0,3,0.0,1962,2003,Sammamish,USA
326100.0,4.0,1.5,880.0,7683.0,2.0,0,4,0.0,1968,0,Black Diamond,USA
395000.0,4.0,3.5,2640.0,35070.0,2.0,2,3,0.0,2008,0,Seattle,USA
484991.666667,3.0,2.25,2320.0,4344.0,2.0,0,4,0.0,1985,0,Bellevue,USA
457500.0,4.0,3.75,1430.0,2003.0,2.0,0,3,450.0,2008,0,Kirkland,USA
915000.0,5.0,2.5,3850.0,62726.0,1.0,0,3,730.0,1976,0,Bothell,USA
345000.0,3.0,1.5,2250.0,7412.0,3.0,0,3,770.0,2007,0,Seattle,USA
215000.0,4.0,2.5,1860.0,5040.0,2.0,0,3,0.0,2001,0,Redmond,USA
395300.0,3.0,1.0,1120.0,7000.0,1.0,0,3,0.0,1959,1989,Enumclaw,USA
210000.0,3.0,3.25,880.0,1157.0,2.0,2,3,0.0,2006,0,Seattle,USA
830000.0,3.0,1.5,3040.0,9601.0,1.0,0,3,1070.0,1950,2005,Seattle,USA
499950.0,3.0,1.0,1820.0,1501.0,1.0,0,4,390.0,1959,0,Issaquah,USA
715000.0,4.0,2.5,2060.0,5649.0,2.0,0,3,700.0,2001,0,Ravensdale,USA
1050000.0,6.0,1.75,3440.0,35021.0,1.0,0,3,0.0,1900,2005,Seattle,USA
718000.0,3.0,1.75,1030.0,4958.0,1.0,0,4,0.0,1962,0,Federal Way,USA
515000.0,5.0,2.0,2670.0,8765.0,1.0,0,4,0.0,1900,1955,Seattle,USA
84573.0,2.0,1.75,4060.0,19290.0,1.0,0,3,0.0,2004,2003,Redmond,USA
160000.0,4.0,2.75,1210.0,103237.0,2.0,0,3,0.0,2005,0,Kenmore,USA
452000.0,5.0,3.5,1660.0,6150.0,1.0,4,3,810.0,1970,2014,Bellevue,USA
449950.0,3.0,2.0,2470.0,3811.0,1.0,0,3,0.0,1956,2001,Bellevue,USA
380000.0,4.0,1.0,1230.0,987.0,1.5,0,4,170.0,1923,0,Kent,USA
835000.0,3.0,1.5,2280.0,6815.0,1.0,0,3,0.0,1963,2008,Seattle,USA
689900.0,4.0,1.75,2740.0,7266.0,1.0,0,4,680.0,1966,0,Renton,USA
475000.0,3.0,2.0,950.0,1110.0,1.5,0,4,0.0,1941,1998,Seattle,USA
515500.0,3.0,1.75,2920.0,7700.0,1.0,0,3,0.0,1993,0,Woodinville,USA
435000.0,3.0,2.25,1450.0,8800.0,3.0,0,3,0.0,2006,0,Seattle,USA
465000.0,4.0,2.5,1530.0,1245.0,2.0,0,3,480.0,1987,2000,Redmond,USA
1655000.0,3.0,1.0,3080.0,4815.0,1.5,3,5,780.0,1988,0,Renton,USA
542804.75,3.0,2.0,2910.0,36250.0,1.5,0,3,1320.0,1971,0,Sammamish,USA
465950.0,5.0,2.25,2340.0,6896.0,1.0,0,4,0.0,1986,0,SeaTac,USA
199990.0,3.0,1.75,1100.0,8560.0,1.0,0,3,0.0,1958,2004,Kirkland,USA
833000.0,3.0,2.0,3780.0,10308.0,2.0,0,3,0.0,2003,0,Redmond,USA
360000.0,2.0,2.5,1020.0,7020.0,3.0,0,3,0.0,2008,0,Seattle,USA
