price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,view,condition,sqft_basement,yr_built,yr_renovated,city,country
571000.0,3.0,2.5,2600,7465,2.0,0,3,0,1988,2000,Bothell,USA
565000.0,4.0,2.25,2110,10698,2.0,0,4,0,1979,0,Issaquah,USA
345000.0,3.0,1.5,1420,1192,2.0,0,3,280,2008,0,Seattle,USA
554820.0,4.0,2.0,3510,12905,1.0,2,3,1300,1965,1982,Burien,USA
744000.0,4.0,3.0,1980,5352,2.5,0,3,0,1941,2005,Seattle,USA
220083.333333,3.0,1.75,1150,8079,1.0,0,4,0,1983,0,Kent,USA
650000.0,4.0,2.5,2840,9354,2.0,0,3,0,1990,2009,Sammamish,USA
491500.0,3.0,2.25,1470,4322,2.0,0,3,0,1985,0,Issaquah,USA
403000.0,3.0,2.75,2090,8354,2.0,0,3,0,2012,1912,Duvall,USA
334000.0,4.0,2.5,2210,6080,1.0,2,4,800,1965,0,Seattle,USA
315000.0,3.0,2.25,1400,31626,1.0,0,2,260,1987,0,Auburn,USA
256750.0,3.0,2.5,1990,8991,1.0,0,3,420,1969,2010,Kent,USA
415000.0,3.0,1.75,1910,12596,1.0,0,3,570,1977,2004,Woodinville,USA
700000.0,2.0,1.75,2320,5500,1.5,2,3,600,1925,2000,Seattle,USA
237000.0,3.0,1.0,1300,8160,1.0,0,4,0,1960,2001,Renton,USA
600000.0,3.0,2.5,3240,8016,2.0,0,3,330,2004,2003,Snoqualmie,USA
432000.0,3.0,2.25,1470,1578,2.0,0,3,380,2007,0,Seattle,USA
449000.0,4.0,2.5,2960,6031,2.0,0,3,0,2005,0,Maple Valley,USA
215500.0,2.0,1.75,1220,15600,1.0,0,3,0,1972,2002,Auburn,USA
400000.0,3.0,2.5,2740,83199,2.0,4,3,0,1973,2013,Kent,USA
375000.0,6.0,2.25,3206,5793,2.0,0,3,0,2012,1912,Kent,USA
345000.0,2.0,1.5,1800,26615,1.0,0,5,560,1987,0,Auburn,USA
602761.0,4.0,2.5,2770,10274,2.0,0,3,0,1989,0,Issaquah,USA
545000.0,3.0,1.75,1810,3000,1.5,0,4,0,1903,0,Seattle,USA
855000.0,4.0,2.25,2190,4080,2.0,0,3,390,1918,0,Seattle,USA
489000.0,4.0,2.0,2120,11479,1.0,0,4,1060,1940,2001,Seattle,USA
360000.0,3.0,1.75,1020,7020,1.5,0,4,0,1953,1983,Shoreline,USA
275000.0,3.0,2.0,1380,4500,1.0,0,3,0,2008,0,Maple Valley,USA
373000.0,3.0,1.0,1770,5720,1.5,0,4,630,1926,1993,Seattle,USA
210000.0,3.0,1.0,1080,21043,1.0,0,3,0,1942,1999,Seattle,USA
673476.818182,4.0,2.5,2740,12899,2.0,0,4,0,1990,0,Sammamish,USA
479500.0,3.0,2.75,2300,4637,2.0,0,3,0,2008,0,Snoqualmie,USA
663000.0,3.0,2.0,1480,3876,1.0,0,5,620,1928,1970,Seattle,USA
619420.0,4.0,2.75,2450,14803,2.0,0,4,0,1988,0,Newcastle,USA
575550.0,4.0,2.5,2060,7475,1.0,0,3,620,1985,0,Redmond,USA
465000.0,3.0,1.75,1510,4800,1.0,2,3,650,1925,2011,Seattle,USA
425000.0,4.0,2.0,1520,7983,1.0,0,5,0,1967,0,Inglewood-Finn Hill,USA
313000.0,3.0,1.5,1340,7912,1.5,0,3,0,1955,2005,Shoreline,USA
531000.0,3.0,2.5,2120,9736,2.0,0,3,0,1988,2000,Bothell,USA
210000.0,2.0,1.5,880,1157,2.0,0,3,0,2007,0,Seattle,USA
214750.0,3.0,1.5,1090,8160,1.0,0,3,0,1967,2014,Renton,USA
536000.0,3.0,2.5,1900,6224,2.0,0,3,0,2005,0,Sammamish,USA
305000.0,3.0,1.0,1160,11776,1.0,0,3,0,1968,1997,Woodinville,USA
395000.0,5.0,1.75,1840,10453,1.0,2,3,480,1948,1994,Burien,USA
418500.0,3.0,2.5,2060,4399,2.0,0,3,0,2007,0,Snoqualmie,USA
320000.0,3.0,2.5,2130,6969,2.0,0,3,0,2003,0,Maple Valley,USA
465500.0,3.0,1.75,1890,7004,1.0,0,3,600,1965,1993,Seattle,USA
625000.0,3.0,1.75,2210,16200,1.0,0,3,820,1958,2004,Bellevue,USA
325000.0,2.0,2.5,1050,1609,2.0,0,3,0,2005,0,Seattle,USA
249950.0,3.0,2.0,1550,15040,1.0,0,4,0,1958,1972,Renton,USA
451000.0,4.0,2.5,1670,3315,2.0,0,3,0,2005,0,Issaquah,USA
1087500.0,2.0,2.0,2360,11340,1.5,0,3,0,1997,0,Mercer Island,USA
509000.0,2.0,1.5,1930,3521,2.0,0,3,0,1989,0,Bellevue,USA
472000.0,6.0,2.5,4410,14034,1.0,2,4,2060,1965,0,Federal Way,USA
344950.0,4.0,2.0,2330,6250,1.0,0,4,930,1941,1998,Kent,USA
329445.0,2.0,1.5,830,1119,2.0,0,3,0,2005,0,Seattle,USA
975000.0,5.0,3.0,2620,5477,2.0,0,3,0,2009,0,Seattle,USA
591000.0,4.0,2.25,2710,38180,2.0,0,4,0,1977,0,Woodinville,USA
350000.0,7.0,3.0,2800,9569,1.0,2,3,1400,1963,2008,Renton,USA
545000.0,3.0,1.75,1700,51649,1.5,0,5,0,1931,0,Renton,USA
420000.0,3.0,2.0,1200,5029,1.0,0,3,320,1937,1999,Seattle,USA
168000.0,2.0,2.5,1160,2174,2.0,0,3,0,1998,2006,Seattle,USA
1695000.0,4.0,2.75,3770,10900,2.0,2,5,700,1924,1956,Seattle,USA
343566.0,2.0,1.0,1100,4200,1.0,0,3,0,1954,2005,Seattle,USA
268500.0,2.0,1.0,790,8424,1.0,0,4,0,1953,1983,Shoreline,USA
494000.0,3.0,2.5,2310,4729,2.0,0,3,0,2011,0,Kenmore,USA
1297000.0,6.0,2.75,2630,9420,2.0,0,5,120,1900,0,Seattle,USA
406500.0,2.0,1.0,870,5750,1.0,0,4,0,1947,1988,Seattle,USA
635000.0,4.0,2.25,2750,6180,1.0,0,4,1250,1948,0,Seattle,USA
305000.0,3.0,1.0,950,13475,1.0,0,3,0,1950,2005,Shoreline,USA
555000.0,3.0,2.5,3050,158558,1.0,0,4,0,1987,0,Renton,USA
615000.0,5.0,2.25,2480,12070,2.0,0,3,0,1978,0,Sammamish,USA
345000.0,2.0,1.0,1080,7775,1.0,0,3,0,1955,2005,Seattle,USA
930000.0,3.0,3.25,2640,4080,2.0,0,3,800,1912,2000,Seattle,USA
390000.0,3.0,3.25,1370,913,2.0,0,3,270,2006,0,Seattle,USA
215000.0,3.0,1.0,1200,7280,1.0,0,4,0,1967,0,Kent,USA
506000.0,3.0,1.75,2180,7700,1.0,0,3,700,1961,2004,Shoreline,USA
415000.0,3.0,2.5,1060,1536,2.0,0,3,0,2000,0,Seattle,USA
495000.0,3.0,2.5,1750,1548,3.0,0,3,0,2013,1923,Seattle,USA
319000.0,4.0,2.5,2510,7992,1.0,0,3,900,1978,0,Kent,USA
310000.0,3.0,1.75,2070,37904,1.0,0,4,650,1973,0,Kent,USA
329333.333333,3.0,1.75,1160,22470,1.0,0,4,0,1976,1992,Kenmore,USA
1285000.0,4.0,2.5,3240,10800,1.0,0,3,980,1946,0,Seattle,USA
535000.0,4.0,1.75,1420,5000,1.5,0,4,0,1945,0,Seattle,USA
364000.0,3.0,2.5,1800,2790,2.0,0,3,0,2011,0,Seattle,USA
335000.0,4.0,2.25,2030,13500,1.0,0,3,800,1963,2008,Renton,USA
656500.0,4.0,2.0,2710,4750,1.0,0,4,1250,1919,1985,Seattle,USA
465000.0,4.0,2.25,1820,20349,1.0,0,5,480,1977,0,Woodinville,USA
580000.0,3.0,2.25,1900,3960,1.5,0,3,700,1905,2010,Seattle,USA
690500.0,5.0,2.0,2000,4211,1.5,2,4,720,1908,0,Seattle,USA
552000.0,3.0,2.5,1840,9900,1.0,0,3,0,1978,0,Bellevue,USA
256883.0,3.0,2.5,1690,5025,2.0,0,3,0,2003,0,Federal Way,USA
1120000.0,4.0,2.25,4470,60373,2.0,0,3,0,1988,2000,Woodinville,USA
339000.0,2.0,1.0,950,7954,1.0,0,4,0,1941,1998,Seattle,USA
383962.0,4.0,2.5,2700,6998,2.0,0,3,0,2001,0,Tukwila,USA
420000.0,3.0,2.25,1770,8165,2.0,0,3,0,1977,2004,Kirkland,USA
458000.0,5.0,2.5,3090,23265,1.0,0,3,100,1957,2000,Bothell,USA
286000.0,3.0,2.75,1100,750,2.0,0,3,320,2008,0,Seattle,USA
628000.0,4.0,2.0,2280,6010,1.0,0,3,1140,1900,2005,Seattle,USA
350000.0,3.0,3.25,1460,1592,2.0,0,3,330,2006,0,Seattle,USA
340000.0,3.0,2.5,2480,6112,2.0,0,3,0,2004,2003,Renton,USA
790000.0,3.0,2.5,2600,4750,1.0,0,4,900,1951,1999,Seattle,USA
530000.0,4.0,2.25,1980,15086,2.0,0,3,0,1981,2013,Sammamish,USA
557125.0,4.0,2.75,3370,12447,2.0,0,3,0,1991,0,Woodinville,USA
415000.0,4.0,3.0,1830,9548,2.0,0,3,0,1991,0,Bothell,USA
519900.0,4.0,2.0,1820,9350,1.0,0,4,0,1967,0,Redmond,USA
1037000.0,4.0,3.5,4440,10660,2.0,0,3,0,2003,0,Newcastle,USA
895000.0,5.0,3.0,2876,13927,1.0,2,4,906,1973,0,Mercer Island,USA
513000.0,4.0,2.5,2000,5684,2.0,0,3,0,1996,0,Kenmore,USA
350000.0,2.0,1.0,1620,9205,1.0,0,5,770,1921,0,Kirkland,USA
321000.0,4.0,2.5,1830,9601,2.0,0,3,0,2003,0,Maple Valley,USA
616000.0,4.0,1.75,1700,5846,1.0,0,3,0,1957,2000,Seattle,USA
520500.0,3.0,2.0,1900,8100,1.0,0,4,950,1940,2001,Seattle,USA
371500.0,3.0,1.0,1650,6400,1.0,0,4,670,1954,1979,Seattle,USA
850000.0,2.0,1.75,1590,5136,1.5,3,3,270,1927,2011,Seattle,USA
270000.0,3.0,1.0,1010,9514,1.0,0,3,0,1969,2010,Renton,USA
821000.0,3.0,2.75,2760,8476,1.0,0,4,1070,1967,0,Mercer Island,USA
660000.0,3.0,2.25,2675,40910,2.0,0,3,0,1984,0,Sammamish,USA
947500.0,4.0,2.25,3290,12329,1.5,0,4,0,1968,0,Mercer Island,USA
810000.0,2.0,2.75,2700,8572,1.0,0,3,0,2007,0,Redmond,USA
295000.0,3.0,2.0,1380,8682,1.0,0,4,0,1966,0,Des Moines,USA
201000.0,3.0,1.0,1460,9750,1.0,0,4,0,1969,0,Kent,USA
239000.0,3.0,1.75,1340,16480,1.0,0,4,0,1968,0,Kent,USA
317000.0,3.0,2.0,1760,11410,1.0,0,5,700,1977,0,Renton,USA
592500.0,2.0,2.0,1420,9191,1.5,2,5,0,1928,1970,Seattle,USA
775000.0,3.0,2.75,2850,14800,1.0,0,4,930,1976,1992,Bellevue,USA
515000.0,4.0,2.5,2680,7178,2.0,0,3,0,2004,2003,Snoqualmie,USA
888550.0,3.0,2.5,3540,38322,2.0,0,3,0,1989,0,Redmond,USA
668500.0,4.0,2.5,2710,5500,2.0,0,3,0,1999,0,Sammamish,USA
625000.0,4.0,2.5,2820,8408,2.0,0,3,0,2014,0,Shoreline,USA
424500.0,3.0,1.75,1460,7700,1.0,0,3,0,1979,2014,Redmond,USA
350000.0,4.0,1.75,2250,13515,1.0,0,4,100,1940,2001,Kent,USA
341166.666667,5.0,2.75,2670,3800,2.0,0,3,0,2014,0,Renton,USA
216000.0,3.0,2.75,2210,4000,2.0,0,3,0,2008,0,Redmond,USA
255000.0,2.0,1.0,810,7980,1.0,0,1,0,1928,0,Seattle,USA
758000.0,4.0,2.75,2410,9549,1.0,0,4,630,1956,0,Kirkland,USA
749950.0,4.0,2.75,3110,35235,2.0,0,4,0,1983,0,Woodinville,USA
2280000.0,7.0,8.0,13540,307752,3.0,4,3,4130,1999,0,Redmond,USA
825500.0,3.0,2.5,2780,11964,2.0,0,3,0,2009,0,Kirkland,USA
410000.0,3.0,1.75,1660,6250,1.0,0,3,830,1980,0,Seattle,USA
254000.0,5.0,2.0,2080,16117,1.0,0,5,340,1959,0,Auburn,USA
989000.0,5.0,4.5,4030,13474,2.0,0,3,0,2000,0,Sammamish,USA
282766.666667,4.0,2.0,1700,8640,1.0,0,3,850,1955,2010,Bellevue,USA
642000.0,4.0,2.5,2550,10000,1.0,0,3,1260,1964,2000,Bellevue,USA
195000.0,5.0,3.75,5340,10655,2.5,3,4,1600,1912,1989,Seattle,USA
1115000.0,4.0,2.5,3180,31931,1.0,0,4,790,1978,2000,Bellevue,USA
640000.0,2.0,2.25,1540,965,3.0,0,3,0,2007,0,Seattle,USA
400000.0,2.0,1.0,840,5510,1.0,0,3,0,1955,2005,Seattle,USA
648360.0,4.0,1.75,2260,7005,1.0,1,4,1130,1947,1988,Kirkland,USA
386380.0,3.0,2.5,1720,3600,2.0,0,3,0,2010,0,Redmond,USA
379000.0,3.0,2.5,1530,2913,2.0,0,4,0,1986,0,Kirkland,USA
349000.0,4.0,1.75,1700,7800,1.0,0,5,580,1981,0,Renton,USA
755000.0,6.0,2.0,2150,4505,1.0,0,3,880,1952,2008,Seattle,USA
379500.0,2.0,1.0,1640,17335,1.0,0,3,800,1978,0,Redmond,USA
603500.0,6.0,2.75,2660,8400,1.0,0,5,1110,1962,0,Bellevue,USA
788600.0,4.0,2.75,3500,7200,2.0,0,3,0,2005,0,Redmond,USA
1230000.0,3.0,1.75,2200,14630,1.5,1,3,0,1948,2003,Bellevue,USA
310000.0,3.0,1.75,1420,7650,1.0,0,4,320,1984,0,Renton,USA
580000.0,4.0,1.75,1720,6975,1.0,0,3,300,1975,0,Redmond,USA
660000.0,4.0,2.5,2510,4543,2.0,0,3,0,2002,0,Sammamish,USA
859000.0,4.0,2.25,3550,13900,1.0,0,3,1720,2010,0,Bellevue,USA
450000.0,2.0,1.75,840,3340,1.0,0,3,140,1912,1994,Seattle,USA
